,Refreshed:,,,,Audit Summary of Нехай Щастить (Tarren Mill-EU),,,,,,,,,,,,,,,,,,,,,,,,
,06/04 12:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Missing Enchants / Gems,,,,,Amount of Members,,,,,,,,,Weekly Dungeons Completed,,,,Missing Great Vault Options,,,,,,,Historical View Setting,,
,,91,,,,,29,,,,,,,,,364,,,,26,,,,,,,This Week,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Average Item Level,,,,,Tier Pieces Obtained,,,,,,,,,Mythic Dungeons Done,,,,Great Vault Options,,,,,,,Mythic+ Rating,,
,,#,Name,,iLvL,,#,Name,#,H,S,C,G,L,,#,Name,This Week,,#,Name,M,H,C,V,,#,Name,Rating
,,1,Sádnèss,,274.13,,1,Sádnèss,5,M,H,H,H,H,,1,Mørw,30,,1,Alcomagic,3,6,0,0,,1,Chong,3217
,,2,Zavöd,,273.88,,2,Ahrni,5,H,H,H,M,H,,2,Chong,27,,2,Killadk,3,6,0,0,,2,Zavöd,3187
,,3,Gameofbugs,,273.19,,3,Abskurial,5,H,H,H,H,H,,3,Gameofbugs,23,,3,Norsemillian,3,6,0,0,,3,Mørw,3178
,,4,Hexëd,,273.13,,4,Harlem,5,H,H,M,N,H,,4,Seizar,19,,4,Chong,3,5,0,1,,4,Abskurial,3131
,,5,Lumiral,,272.56,,5,Mcmorrio,5,H,H,H,H,M,,5,Abskurial,17,,5,Doublefresh,3,5,0,1,,5,Oaran,3062
,,6,Ahrni,,272.44,,6,Doublefresh,5,M,N,H,N,H,,6,Hexëd,17,,6,Harlem,3,5,0,1,,6,Fuwyce,3029
,,7,Артемион,,272.38,,7,Yazhneloh,5,H,H,N,H,N,,7,Killadk,16,,7,Literium,3,5,0,1,,7,Hexëd,3011
,,8,Chong,,271.81,,8,Fuwyce,5,H,H,M,H,H,,8,Oaran,16,,8,Mørw,3,5,0,1,,8,Gameofbugs,3009
,,9,Doublefresh,,271.81,,9,Gameofbugs,5,N,H,H,N,H,,9,Norsemillian,15,,9,Oaran,3,5,0,1,,9,Pristula,2964
,,10,Harlem,,271.75,,10,Boomiechu,5,H,H,N,H,N,,10,Ahrni,14,,10,Zavöd,3,5,0,1,,10,Alcomagic,2925
,,11,Killadk,,271.69,,11,Pristula,5,H,H,N,H,H,,11,Alcomagic,14,,11,Abskurial,3,3,0,2,,11,Lamiane,2924
,,12,Mørw,,271.69,,12,Chong,5,H,H,H,H,N,,12,Doublefresh,14,,12,Ahrni,3,3,0,2,,12,Sádnèss,2870
,,13,Zavrikk,,271.56,,13,Oaran,5,H,H,H,H,H,,13,Harlem,14,,13,Gameofbugs,3,3,0,2,,13,Harlem,2796
,,14,Pristula,,271.44,,14,Peresmishnyk,5,N,N,N,H,N,,14,Sádnèss,14,,14,Hexëd,3,3,0,2,,14,Norsemillian,2791
,,15,Literium,,271.38,,15,Lumiral,4,H,M,H,H,,,15,Zavöd,13,,15,Pristula,3,3,0,2,,15,Doublefresh,2783
,,16,Fuwyce,,270.69,,16,Hexëd,4,H,,H,N,M,,16,Fuwyce,12,,16,Seizar,3,3,0,2,,16,Артемион,2751
,,17,Бодя,,270.56,,17,Literium,4,H,N,H,M,,,17,Mcmorrio,12,,17,Sádnèss,3,3,0,2,,17,Бодя,2728
,,18,Norsemillian,,270.13,,18,Бодя,4,H,,H,M,H,,18,Pristula,10,,18,Брандрейн,3,3,0,2,,18,Ahrni,2719
,,19,Seizar,,270.06,,19,Norsemillian,4,H,H,H,,H,,19,Брандрейн,9,,19,Mcmorrio,3,3,0,0,,19,Literium,2686
,,20,Mcmorrio,,269.94,,20,Zavöd,4,H,H,H,,H,,20,Boomiechu,8,,20,Fuwyce,3,1,0,2,,20,Брандрейн,2685
,,21,Oaran,,269.81,,21,Артемион,4,H,,H,H,H,,21,Literium,8,,21,Бодя,2,6,1,0,,21,Boomiechu,2681
